isbn,authors,original_publication_year,title,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,should_i_read
399155341,Kathryn Stockett,2009.0,The Help,4.45,1531753,10235,25117,134887,490754,942552,1
142000671,John Steinbeck,1937.0,Of Mice and Men,3.84,1467496,46630,110856,355169,532291,473795,0
739326228,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209,23500,59033,258700,517157,559782,1
1612130291,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,165455,152293,252185,294976,571909,0
61122416,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,1299566,74846,123614,289143,412180,504212,0
385732554,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,1296825,26497,59652,225326,448691,585279,1
60764899,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,19309,55542,262038,513366,734629,1
965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287,44339,85429,257805,427210,493884,0
553588486,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,19988,28983,114092,404583,874574,1
143038419,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,1181647,100373,149549,310212,332191,314272,0
786838655,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,18303,48294,219638,435514,689365,1
451529308,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",4.04,1257121,31645,70011,250794,426280,535563,1
142437204,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,1198557,35132,64274,212294,400214,574221,1
553816713,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,1053403,41395,63432,176469,298259,497194,1
1565125606,Sara Gruen,2006.0,Water for Elephants,4.07,1068146,16705,49832,200154,417328,424820,1
375831002,Markus Zusak,2005.0,The Book Thief,4.36,1159741,17892,35360,135272,377218,722056,1
316160199,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630,102837,160660,294207,290612,350684,0
60513039,Shel Silverstein,1974.0,Where the Sidewalk Ends,4.29,1016888,16590,30792,139024,293222,544153,1
1416914285,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,34122,65349,203466,356048,582814,1
316160202,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,1134511,83094,124293,260763,309358,399134,0
375826696,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,50563,88536,240157,337943,408032,0
345391802,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,21764,41962,145173,299579,498001,1
60929871,Aldous Huxley,1932.0,Brave New World,3.97,1022601,26367,60328,219895,389379,383166,0
031606792X,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",3.7,1070245,100994,114893,213402,267706,410714,0
142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,916189,17500,45455,185631,347540,341267,1
142437174,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,953758,28467,76630,255722,344356,296316,0
64410935,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,1064521,18450,41124,191415,346090,487763,1
1400032717,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,867553,21049,58117,218218,355925,262481,0
1594633665,Paula Hawkins,2015.0,The Girl on the Train,3.88,1008778,27773,73897,273817,488447,362551,0
679879242,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,953970,38382,64591,198764,313147,380030,0
393978893,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,899195,46469,84084,215320,309180,346082,0
743454537,Jodi Picoult,2004.0,My Sister's Keeper,4.06,863879,17547,42763,162573,314003,350994,1
385333846,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,4.06,846488,24964,45518,152442,300948,367890,1
446675539,Margaret Mitchell,1936.0,Gone with the Wind,4.28,873981,19996,33136,116160,234290,493721,1
1594489505,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,818742,6509,18015,99030,295817,446694,1
671027344,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806,14286,38658,143440,297501,461020,1
7442912,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,836362,10641,44620,182131,339977,369969,1
812550706,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,813439,15330,27612,103439,264207,462829,1
141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,3.75,808589,29366,74142,231022,300495,248538,0
450040186,Stephen King,1977.0,The Shining (The Shining #1),4.17,791850,18487,28981,123862,277393,382158,1
316068047,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,749780,44215,62501,154906,227180,288758,0
142402516,John Green,2005.0,Looking for Alaska,4.09,783470,16940,44232,147324,262932,359857,1
014028009X,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,28973,59309,198555,254836,212825,0
141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,738894,18430,34699,141987,272512,311754,1
439244196,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,747445,15495,43786,176946,269153,259257,0
307275558,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,24231,58323,192366,226675,178250,0
143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,3.73,670326,29703,65629,183082,224120,208223,0
156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,4.28,738757,15039,32866,114714,228440,468227,1
074324754X,Jeannette Walls,2005.0,The Glass Castle,4.24,621099,7901,18922,85191,227750,298102,1
385486804,Jon Krakauer,1996.0,Into the Wild,3.94,647684,19229,35567,135199,248287,227095,0
141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,637412,28904,55555,153305,216378,223571,0
60256656,Shel Silverstein,1964.0,The Giving Tree,4.38,702332,15345,20408,76071,167542,428921,1
385338600,John Grisham,1989.0,A Time to Kill,4.03,597775,12106,25938,122675,218617,229488,1
374500010,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),4.3,691231,7761,18539,90575,230227,360777,1
014241493X,John Green,2008.0,Paper Towns,3.88,461311,14105,47183,154479,223895,215609,0
345418263,William Goldman,1973.0,The Princess Bride ,4.25,628637,12883,21641,89236,196047,338235,1
014038572X,S.E. Hinton,1967.0,The Outsiders,4.06,659248,10178,34346,134244,227250,274419,1
385737947,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,719925,15291,43370,150488,266698,302109,1
61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,14586,26538,115789,216316,176072,0
517189607,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,639357,8005,25207,129646,243821,285570,1
60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,4.04,490565,27340,37646,87675,155809,267197,1
375751513,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,590014,9825,30735,129420,246892,257679,1
345803507,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,39079,55691,109963,140304,265079,0
393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,618973,11756,36719,151396,246043,243825,0
307269981,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,4623,15781,91021,258236,279592,1
1612130585,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,37245,58935,114203,150906,262051,0
60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,546502,21699,33702,92590,175725,239071,1
349113912,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,495736,19718,29034,93427,178021,194076,0
99408392,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,620618,15392,27532,93700,167043,332394,1
140449264,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,4.21,555822,10381,22482,89980,183142,295235,1
307265439,Cormac McCarthy,2006.0,The Road,3.95,504793,20086,36561,100989,190823,207328,0
7524277,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,463257,31626,78366,176061,192785,184388,0
446693804,Nicholas Sparks,1999.0,A Walk to Remember,4.15,546948,10640,24094,94327,169650,260870,1
440241413,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,30705,56949,156636,166927,146787,0
451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,513407,15225,25914,87461,167385,264147,1
553381695,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,1788,7104,56167,221706,320000,1
143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,501430,19453,47004,145437,183150,115538,0
670026603,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",4.27,587647,10346,21880,91517,249474,367916,1
684833395,Joseph Heller,1961.0,Catch-22,3.98,563265,20639,37912,106269,186745,230950,0
751529818,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,556518,11507,30534,107446,194448,240462,1
312422156,Jeffrey Eugenides,2002.0,Middlesex,3.98,488243,19329,30503,89740,171099,197327,0
143039563,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,555359,12130,34349,143659,217896,186192,0
440498058,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,17313,34988,119115,209745,268933,1
143038095,Amy Tan,1989.0,The Joy Luck Club,3.9,515090,14802,30197,116748,195930,167566,0
038549081X,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,607889,13998,32561,116975,252942,267088,1
385729332,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,14996,42396,152024,177404,149784,0
60987103,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,40802,65835,132061,153583,133217,0
582418275,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",3.99,488269,5075,20119,111543,190966,160652,0
316098337,Emma Donoghue,2010.0,Room,4.03,511360,11020,26079,99831,217995,201402,1
521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,4.0,515820,10413,32697,121040,192937,219807,1
340839937,Frank Herbert,1965.0,Dune (Dune Chronicles #1),4.19,485032,13354,22778,74206,154771,260867,1
316346624,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,15111,25871,106453,189120,162511,0
1451648537,Walter Isaacson,2011.0,Steve Jobs,4.09,560715,19680,21986,88456,203975,245159,1
451163966,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,491642,5672,15978,78714,191622,222472,1
684830493,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,520630,28645,52583,136217,186747,170136,0
142000663,John Steinbeck,1939.0,The Grapes of Wrath,3.92,322321,23552,40261,103475,173589,212475,0
451528824,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,8864,19531,80256,158725,265976,1
1416914307,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,593173,6646,17351,79202,179290,348071,1
055357342X,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,1456,4820,36418,149268,335682,1
006075995X,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,15795,35314,120396,158451,140552,0
440242940,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",4.2,515547,20998,27673,73126,147085,309960,1
142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,509883,34813,80444,182701,165079,96209,0
1594744769,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,14920,45434,159227,234792,217849,0
030726999X,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,3823,14773,78387,203297,226511,1
804139024,Andy Weir,2012.0,The Martian,4.39,423344,4114,10856,49200,173861,291671,1
451207149,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,9248,16886,57825,148052,263882,1
1476746583,Anthony Doerr,2014.0,All the Light We Cannot See,4.31,470001,6209,14527,61020,185239,280832,1
1400064163,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,10308,12874,47828,144203,313339,1
671027387,Dan Brown,2001.0,Deception Point,3.67,455610,14380,45006,143182,160819,116346,0
316055433,Donna Tartt,2013.0,The Goldfinch,3.87,396756,19164,35300,93459,153459,162465,0
1595141715,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783,15246,35668,105414,179197,235756,1
452287022,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,467577,11525,28287,123463,189656,139246,0
525421033,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,503527,12666,34896,122977,190793,205755,0
312353766,Anita Diamant,1997.0,The Red Tent,4.16,424981,9470,19616,67878,146178,206075,1
786856866,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,2967,13884,91127,188988,253546,1
446528056,Nicholas Sparks,2006.0,Dear John,4.01,441062,9683,25220,94711,145202,179965,1
1416914293,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,6135,20075,92626,192934,274238,1
743477103,William Shakespeare,1606.0,Macbeth,3.88,496018,10551,35408,127354,183871,167642,0
618346260,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,3013,10264,55433,156232,307267,1
031232118X,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,16019,29297,104322,148507,137044,0
394800168,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,457475,6605,14530,66873,121751,251282,1
142403881,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,6236,17193,94240,178216,198862,1
1423101464,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,2435,8093,62108,172289,292783,1
192833596,Charles Dickens,1860.0,Great Expectations,3.75,459247,22811,44293,120385,170702,148996,0
345339738,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,2691,8008,42693,132149,324996,1
142311339X,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,5020,11267,58590,148498,266120,1
1250012570,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312,12904,26371,94470,196224,249784,1
055358202X,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,3170,18574,94401,175973,189012,1
525423648,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,511815,24343,53804,138030,165412,149091,0
747263744,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",4.11,378019,9888,24944,83253,178346,221912,1
385199570,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,438832,5647,13612,56722,134098,259874,1
141439580,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,459826,11386,25777,102144,178238,180404,0
345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,4.02,297472,11738,26945,88365,158179,187569,1
393312836,Anthony Burgess,1962.0,A Clockwork Orange,3.98,431195,14741,24244,84863,163488,167055,0
964729237,William Paul Young,2007.0,The Shack,3.74,419539,35734,42977,84751,111923,162907,0
739380338,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,2098,6501,45208,133168,312535,1
451169514,Stephen King,1986.0,It,4.18,292592,8464,19610,75841,148672,226794,1
143058142,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,4.18,380903,9477,20078,64050,137104,213966,1
61148512,Sylvia Plath,1963.0,The Bell Jar,3.98,401605,8266,23983,92408,162216,155284,0
7205236,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,7657,18327,73550,155775,164437,1
553208845,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,3.99,372099,10229,25529,83698,138837,160360,0
679745580,Truman Capote,1965.0,In Cold Blood,4.05,381652,10639,17836,70857,144616,157891,1
316042676,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,19917,43525,113352,132492,149232,0
1416975861,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,8364,15544,61409,140928,289514,1
141301066,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,440743,4277,10823,64536,152003,231852,1
385534639,Erin Morgenstern,2011.0,The Night Circus,4.03,429543,11349,28650,84254,159596,190977,1
743227441,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,5311,16716,78620,153807,144769,1
689865384,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",3.86,449073,15531,34808,106086,151540,156624,0
618640150,J.R.R. Tolkien,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,4807,9577,37552,106818,277592,1
307592731,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,8344,22137,85489,165482,139451,0
930289234,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,398018,6349,11732,44847,116877,229518,1
075640407X,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,5605,8582,28480,95470,311235,1
316017922,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,353011,4494,12545,62510,148978,140599,1
142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby-Dick or, The Whale",3.46,358050,35983,52601,103625,102432,103322,0
385340990,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,7190,17250,68942,155107,175183,1
393327345,Chuck Palahniuk,1996.0,Fight Club,4.2,365349,4578,12632,58110,139554,173780,1
441008534,Charlaine Harris,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,11330,25781,96290,148326,163097,0
671727796,Alice Walker,1982.0,The Color Purple,4.17,376766,6298,14477,62380,140835,176975,1
739461192,John Grogan,2005.0,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,5485,14940,68532,131536,158855,1
312330871,Agatha Christie,1939.0,And Then There Were None,4.23,408983,6134,12476,66243,156306,215521,1
385504225,Dan Brown,2009.0,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,11293,40545,120122,136545,96477,0
1416989412,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",4.0,448166,19338,33543,82544,120204,206173,1
345476875,Anne Rice,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,7519,22377,84804,137659,141582,0
62059939,Kiera Cass,2012.0,"The Selection (The Selection, #1)",4.15,505340,13841,25349,83692,158716,257493,1
312362080,Janet Evanovich,1994.0,"One for the Money (Stephanie Plum, #1)",4.03,391007,9176,19657,80319,133454,160709,1
1400052173,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,4.04,377249,10782,18237,70339,151226,153856,1
99446782,Thomas Harris,1988.0,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107,10268,12845,55427,123652,163920,1
159514174X,Richelle Mead,2007.0,"Vampire Academy (Vampire Academy, #1)",4.14,248283,12535,22043,73357,129382,217834,1
316010669,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,3.89,348196,6804,20128,85934,139947,107525,0
038572179X,Ian McEwan,2001.0,Atonement,3.88,347006,11473,25462,77135,134788,116800,0
553213695,"Franz Kafka, Stanley Corngold",1915.0,The Metamorphosis,3.78,364933,15430,33226,98774,146297,120806,0
141382899,Rick Riordan,2007.0,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668,1863,7934,65220,162371,248874,1
030788743X,Ernest Cline,2011.0,Ready Player One,4.31,349423,5150,12928,48285,134107,221349,1
1554681723,Garth Stein,2006.0,The Art of Racing in the Rain,4.19,327409,4808,13901,53780,118166,163664,1
739303406,"Erik Larson, Tony Goldwyn",2003.0,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385,6687,18709,69012,135360,120839,0
425263908,Sylvia Day,2012.0,"Bared to You (Crossfire, #1)",4.19,222678,9867,18983,55554,104657,197075,1
66238501,"C.S. Lewis, Pauline Baynes",1956.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385,3772,12192,59975,133056,192681,1
1558743669,Dave Pelzer,1995.0,"A Child Called ""It"" (Dave Pelzer #1)",4.08,311543,7819,16453,57341,98786,140899,1
752864327,Robert Ludlum,1980.0,"The Bourne Identity (Jason Bourne, #1)",3.98,327122,10266,17695,65161,118463,124627,0
786817879,Eoin Colfer,2001.0,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923,14473,30894,94950,129607,129241,0
385738935,Lauren Kate,2009.0,"Fallen (Fallen, #1)",3.74,395296,23594,41578,94145,107149,141642,0
142000655,John Steinbeck,1952.0,East of Eden,4.35,320919,4183,9409,39153,96741,187196,1
307341569,Gillian Flynn,2009.0,Dark Places,3.92,333452,5169,17975,89242,165108,109113,0
385339089,John Grisham,1993.0,The Client,3.97,320083,2530,12566,79176,129019,102372,0
312291639,"Emma McLaughlin, Nicola Kraus",2002.0,"The Nanny Diaries (Nanny, #1)",3.4,323762,17006,43014,116021,95951,56081,0
451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,340920,5294,17482,76985,127906,149523,1
192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,4.13,365425,6688,15653,71218,133222,175578,1
312370830,Tatiana de Rosnay,2007.0,Sarah's Key,4.14,312444,3865,12684,55760,134748,140574,1
452284694,Stephen King,1982.0,"The Gunslinger (The Dark Tower, #1)",3.99,332494,9958,24111,72736,112895,146677,0
140003468X,"Gabriel García Márquez, Edith Grossman",1985.0,Love in the Time of Cholera,3.89,283806,11450,23825,65668,110544,111974,0
014131088X,Laurie Halse Anderson,1999.0,Speak,4.0,360156,7770,21049,76503,125660,141422,1
399159347,Liane Moriarty,2013.0,The Husband's Secret,3.92,232106,4175,15649,80869,155945,95167,0
385494785,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11,291258,8041,10286,46060,112601,124605,1
031242227X,Augusten Burroughs,2002.0,Running with Scissors,3.7,293878,13569,27249,78405,105786,81379,0
307346609,Max Brooks,2006.0,World War Z: An Oral History of the Zombie War,4.01,312969,7680,19887,65570,121537,130475,1
385537859,Dan Brown,2013.0,"Inferno (Robert Langdon, #4)",3.8,287533,7261,26077,89237,128374,94611,0
