authors,title,average_rating
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,4.0
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.0
Jeannette Walls,The Glass Castle,4.0
Jon Krakauer,Into the Wild,4.0
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,4.0
Shel Silverstein,The Giving Tree,4.0
John Grisham,A Time to Kill,4.0
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.0
John Green,Paper Towns,4.0
William Goldman,The Princess Bride ,4.0
S.E. Hinton,The Outsiders,4.0
James Dashner,"The Maze Runner (Maze Runner, #1)",4.0
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",4.0
Frances Hodgson Burnett,The Secret Garden,4.0
"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.0
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.0
E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",4.0
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,4.0
"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.0
E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",4.0
Barbara Kingsolver,The Poisonwood Bible,4.0
David Sedaris,Me Talk Pretty One Day,4.0
Maurice Sendak,Where the Wild Things Are,4.0
"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.0
Cormac McCarthy,The Road,4.0
Veronica Roth,"Allegiant (Divergent, #3)",4.0
Tina Fey,Bossypants,4.0
Nicholas Sparks,A Walk to Remember,4.0
Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",4.0
"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.0
George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.0
Kim Edwards,The Memory Keeper's Daughter,4.0
Jojo Moyes,"Me Before You (Me Before You, #1)",4.0
Joseph Heller,Catch-22,4.0
"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.0
Jeffrey Eugenides,Middlesex,4.0
"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,4.0
Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.0
Amy Tan,The Joy Luck Club,4.0
Margaret Atwood,The Handmaid's Tale,4.0
Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",4.0
"Vladimir Nabokov, Craig Raine",Lolita,4.0
"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",4.0
John Grisham,"The Firm (Penguin Readers, Level 5)",4.0
Emma Donoghue,Room,4.0
"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4.0
Frank Herbert,Dune (Dune Chronicles #1),4.0
Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,4.0
Walter Isaacson,Steve Jobs,4.0
Ken Kesey,One Flew Over the Cuckoo's Nest,4.0
Ernest Hemingway,The Old Man and the Sea,4.0
John Steinbeck,The Grapes of Wrath,4.0
L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.0
Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.0
George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",5.0
Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,4.0
Diana Gabaldon,"Outlander (Outlander, #1)",4.0
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,3.0
Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",4.0
"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.0
Andy Weir,The Martian,4.0
Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.0
Anthony Doerr,All the Light We Cannot See,4.0
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.0
Dan Brown,Deception Point,4.0
Donna Tartt,The Goldfinch,4.0
Jay Asher,Thirteen Reasons Why,4.0
Tracy Chevalier,Girl with a Pearl Earring,4.0
Gayle Forman,"If I Stay (If I Stay, #1)",4.0
Anita Diamant,The Red Tent,4.0
Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.0
Nicholas Sparks,Dear John,4.0
Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.0
William Shakespeare,Macbeth,4.0
J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",4.0
Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",4.0
"Dr. Seuss, לאה נאור",Green Eggs and Ham,4.0
"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.0
Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.0
Charles Dickens,Great Expectations,4.0
J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",5.0
"Albert Camus, Matthew    Ward",The Stranger,4.0
Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",4.0
Rainbow Rowell,Eleanor & Park,4.0
George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",4.0
Ally Condie,"Matched (Matched, #1)",4.0
Neil Gaiman,"American Gods (American Gods, #1)",4.0
"Stephen King, Bernie Wrightson",The Stand,4.0
"Jane Austen, Fiona Stafford",Emma,4.0
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,4.0
Anthony Burgess,A Clockwork Orange,4.0
William Paul Young,The Shack,4.0
Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.0
Stephen King,It,4.0
"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,4.0
Sylvia Plath,The Bell Jar,4.0
Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",4.0
"Hermann Hesse, Hilda Rosner",Siddhartha,4.0
Truman Capote,In Cold Blood,4.0
"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)",4.0
Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",4.0
"Roald Dahl, Quentin Blake",Matilda,4.0
Erin Morgenstern,The Night Circus,4.0
Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.0
Scott Westerfeld,"Uglies (Uglies, #1)",4.0
George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.0
J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.0
Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,4.0
"Alan Moore, Dave Gibbons, John Higgins",Watchmen,4.0
Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",5.0
Malcolm Gladwell,Outliers: The Story of Success,4.0
"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",3.0
"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,4.0
Chuck Palahniuk,Fight Club,4.0
Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",4.0
Alice Walker,The Color Purple,4.0
John Grogan,Marley and Me: Life and Love With the World's Worst Dog,4.0
Agatha Christie,And Then There Were None,4.0
Dan Brown,"The Lost Symbol (Robert Langdon, #3)",4.0
Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",4.0
Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",4.0
Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",4.0
Kiera Cass,"The Selection (The Selection, #1)",4.0
Janet Evanovich,"One for the Money (Stephanie Plum, #1)",4.0
Rebecca Skloot,The Immortal Life of Henrietta Lacks,4.0
Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.0
Richelle Mead,"Vampire Academy (Vampire Academy, #1)",4.0
Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,4.0
Ian McEwan,Atonement,4.0
"Franz Kafka, Stanley Corngold",The Metamorphosis,4.0
Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.0
Ernest Cline,Ready Player One,4.0
Garth Stein,The Art of Racing in the Rain,4.0
"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",4.0
Sylvia Day,"Bared to You (Crossfire, #1)",4.0
"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.0
Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,4.0
Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",4.0
Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",4.0
Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",4.0
Lauren Kate,"Fallen (Fallen, #1)",4.0
John Steinbeck,East of Eden,4.0
Gillian Flynn,Dark Places,4.0
John Grisham,The Client,4.0
"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",3.0
"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,4.0
"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,4.0
Tatiana de Rosnay,Sarah's Key,4.0
Stephen King,"The Gunslinger (The Dark Tower, #1)",4.0
"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,4.0
Laurie Halse Anderson,Speak,4.0
Liane Moriarty,The Husband's Secret,4.0
Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.0
Augusten Burroughs,Running with Scissors,4.0
Max Brooks,World War Z: An Oral History of the Zombie War,4.0
Dan Brown,"Inferno (Robert Langdon, #4)",4.0
Lois Lowry,Number the Stars,4.0
James Patterson,"Along Came a Spider (Alex Cross, #1)",4.0
Gillian Flynn,Sharp Objects,4.0
Katherine Paterson,Bridge to Terabithia,4.0
"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",4.0
Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.0
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,4.0
Jonathan Safran Foer,Extremely Loud and Incredibly Close,4.0
R.J. Palacio,Wonder,4.0
Dr. Seuss,The Cat in the Hat,4.0
Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",4.0
"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)",4.0
Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",4.0
"Ayn Rand, Leonard Peikoff",Atlas Shrugged,4.0
"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,4.0
"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,4.0
"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.0
James Dashner,"The Scorch Trials (Maze Runner, #2)",4.0
Dale Carnegie,How to Win Friends and Influence People,4.0
Frances Mayes,Under the Tuscan Sun,4.0
Liane Moriarty,Big Little Lies,4.0
Gail Carson Levine,Ella Enchanted,4.0
Ernest Hemingway,The Sun Also Rises,4.0
Betty  Smith,A Tree Grows in Brooklyn,4.0
James Patterson,"Kiss the Girls (Alex Cross, #2)",4.0
Kristin Hannah,The Nightingale,5.0
Kazuo Ishiguro,Never Let Me Go,4.0
Cecelia Ahern,P.S. I Love You,4.0
"Daphne du Maurier, Sally Beauman",Rebecca,4.0
Daniel Keyes,Flowers for Algernon,4.0
"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,4.0
Lisa See,Snow Flower and the Secret Fan,4.0
"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,4.0
John Green,An Abundance of Katherines,4.0
Isaac Asimov,Foundation (Foundation #1),4.0
Neil Gaiman,The Ocean at the End of the Lane,4.0
Shel Silverstein,A Light in the Attic,4.0
"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",4.0
Lauren Oliver,"Delirium (Delirium, #1)",4.0
John Grisham,The Pelican Brief,4.0
Neil Gaiman,Coraline,4.0
"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.0
Jack Kerouac,On the Road,4.0
Graeme Simsion,"The Rosie Project (Don Tillman, #1)",4.0
Nicholas Sparks,The Lucky One,4.0
"Ayn Rand, Leonard Peikoff",The Fountainhead,4.0
Richard Adams,"Watership Down (Watership Down, #1)",4.0
Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),4.0
Abraham Verghese,Cutting for Stone,4.0
"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.0
Robert Louis Stevenson,Treasure Island,4.0
Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)",4.0
Stephen King,11/22/63,4.0
Eric Carle,The Very Hungry Caterpillar Board Book,4.0
Kurt Vonnegut Jr.,Cat's Cradle,4.0
"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,4.0
"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.0
John Boyne,The Boy in the Striped Pajamas,4.0
Joseph Conrad,Heart of Darkness,3.0
Nicholas Sparks,Safe Haven,4.0
Rhonda Byrne,"The Secret (The Secret, #1)",4.0
Wally Lamb,I Know This Much Is True,4.0
Stephen King,Pet Sematary,4.0
Wally Lamb,She's Come Undone,4.0
Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",5.0
Sophie Kinsella,Can You Keep a Secret?,4.0
Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)",4.0
Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)",4.0
Colleen McCullough,The Thorn Birds,4.0
"Neil Gaiman, Dave McKean",The Graveyard Book,4.0
M.L. Stedman,The Light Between Oceans,4.0
"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)",4.0
"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,4.0
Bill Bryson,A Walk in the Woods,4.0
Maya Angelou,I Know Why the Caged Bird Sings,4.0
Christina Baker Kline,Orphan Train,4.0
Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)",4.0
Maria Semple,"Where'd You Go, Bernadette",4.0
Neil Gaiman,Neverwhere,4.0
"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being,4.0
Rainbow Rowell,Fangirl,4.0
John Irving,A Prayer for Owen Meany,4.0
Janet Fitch,White Oleander,4.0
Marie Lu,"Legend (Legend, #1)",4.0
Jodi Picoult,Nineteen Minutes,4.0
"Randy Pausch, Jeffrey Zaslow",The Last Lecture,4.0
Robert Jordan,"The Eye of the World (Wheel of Time, #1)",4.0
Jodi Picoult,The Pact,4.0
C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",4.0
Lisa Genova,Still Alice,4.0
Sylvia Day,"Reflected in You (Crossfire, #2)",4.0
"Roald Dahl, Quentin Blake",James and the Giant Peach,4.0
James Patterson,"1st to Die (Women's Murder Club, #1)",4.0
Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,4.0
David Nicholls,One Day,4.0
"Margaret Wise Brown, Clement Hurd",Goodnight Moon,4.0
Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)",4.0
"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",The Iliad,4.0
J.K. Rowling,The Casual Vacancy,3.0
John Grisham,The Runaway Jury,4.0
David Sedaris,Naked,4.0
Christopher Paolini,"Eldest (The Inheritance Cycle, #2)",4.0
"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)",4.0
C.S. Lewis,"Prince Caspian (Chronicles of Narnia, #2)",4.0
E. Lockhart,We Were Liars,4.0
"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas,4.0
Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",4.0
Amy Poehler,Yes Please,4.0
William Shakespeare,Othello,4.0
Toni Morrison,Beloved,4.0
"Lemony Snicket, Brett Helquist","The Bad Beginning (A Series of Unfortunate Events, #1)",4.0
"Erich Maria Remarque, A.W. Wheen",All Quiet on the Western Front,4.0
Dr. Seuss,"Oh, The Places You'll Go!",4.0
Khaled Hosseini,And the Mountains Echoed,4.0
"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,4.0
"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,4.0
C.S. Lewis,The Screwtape Letters,4.0
Stephanie Perkins,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.0
Dr. Seuss,How the Grinch Stole Christmas!,4.0
"Alan Moore, David   Lloyd",V for Vendetta,4.0
David McCullough,John Adams,4.0
Dean Koontz,"Odd Thomas (Odd Thomas, #1)",4.0
Philip Pullman,"The Subtle Knife (His Dark Materials, #2)",4.0
Jerry Spinelli,"Stargirl (Stargirl, #1)",4.0
Rick Riordan,"The Red Pyramid (Kane Chronicles, #1)",4.0
Robert A. Heinlein,Stranger in a Strange Land,4.0
David Sedaris,Dress Your Family in Corduroy and Denim,4.0
"Roald Dahl, Quentin Blake",The BFG,4.0
Bill Bryson,A Short History of Nearly Everything,4.0
Jack London,The Call of the Wild,4.0
James Dashner,"The Death Cure (Maze Runner, #3)",4.0
Neil Gaiman,Stardust,4.0
Jhumpa Lahiri,The Namesake,4.0
Deborah Harkness,"A Discovery of Witches (All Souls Trilogy, #1)",4.0
"Haruki Murakami, Jay Rubin",Norwegian Wood,4.0
Billie Letts,Where the Heart Is,4.0
"John Green, David Levithan","Will Grayson, Will Grayson",4.0
Richelle Mead,"Frostbite (Vampire Academy, #2)",4.0
Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,4.0
"Arthur Miller, Christopher Bigsby",The Crucible,4.0
Gary Paulsen,"Hatchet (Brian's Saga, #1)",4.0
Brandon Sanderson,"The Final Empire (Mistborn, #1)",4.0
"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr. Jekyll and Mr. Hyde,4.0
Dr. Seuss,The Lorax,4.0
Jeff Kinney,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",4.0
Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)",4.0
Richelle Mead,"Shadow Kiss (Vampire Academy, #3)",4.0
Ernest Hemingway,For Whom the Bell Tolls,4.0
Jamie Ford,Hotel on the Corner of Bitter and Sweet,4.0
"Patrick Süskind, John E. Woods",Perfume: The Story of a Murderer,4.0
Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal,4.0
J.K. Rowling,The Tales of Beedle the Bard,4.0
William Gibson,Neuromancer,4.0
Ernest Hemingway,A Farewell to Arms,4.0
"Sun Tzu, Thomas Cleary",The Art of War,4.0
William Landay,Defending Jacob,4.0
Kurt Vonnegut Jr.,Breakfast of Champions,4.0
Betty Edwards,The New Drawing on the Right Side of the Brain,4.0
Ann Patchett,Bel Canto,4.0
Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",4.0
Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)",4.0
Sophie Kinsella,The Undomestic Goddess,4.0
Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.0
Chris Cleave,Little Bee,4.0
Alyson Noel,"Evermore (The Immortals, #1)",4.0
"Roald Dahl, Quentin Blake",The Witches,4.0
Diane Setterfield,The Thirteenth Tale,4.0
Richelle Mead,"Spirit Bound (Vampire Academy, #5)",4.0
Richelle Mead,"Blood Promise (Vampire Academy, #4)",4.0
Nicholas Sparks,Message in a Bottle,4.0
Paula McLain,The Paris Wife,4.0
J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)",5.0
Kiera Cass,"The Elite (The Selection, #2)",4.0
"Umberto Eco, William Weaver, Seán Barrett",The Name of the Rose,4.0
"Beatrice Sparks, Anonymous",Go Ask Alice,4.0
"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,4.0
Oscar Wilde,The Importance of Being Earnest,4.0
Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)",4.0
Terry Pratchett,"The Color of Magic (Discworld, #1; Rincewind #1)",4.0
"Haruki Murakami, Philip Gabriel",Kafka on the Shore,4.0
Thomas Harris,"Red Dragon (Hannibal Lecter, #1)",4.0
Isaac Asimov,"I, Robot (Robot #0.1)",4.0
J.R. Ward,"Dark Lover (Black Dagger Brotherhood, #1)",4.0
Becca Fitzpatrick,"Crescendo (Hush, Hush, #2)",4.0
Lauren Oliver,Before I Fall,4.0
Arundhati Roy,The God of Small Things,4.0
Sue Monk Kidd,The Invention of Wings,4.0
Liane Moriarty,What Alice Forgot,4.0
"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time,4.0
Ken Follett,"Fall of Giants (The Century Trilogy, #1)",4.0
Stephen King,Under the Dome,4.0
Neal Stephenson,Snow Crash,4.0
Sarah Dessen,Just Listen,4.0
"A.A. Milne, Ernest H. Shepard","Winnie-the-Pooh (Winnie-the-Pooh, #1)",4.0
Arthur Conan Doyle,A Study in Scarlet,4.0
Christopher Paolini,"Brisingr (The Inheritance Cycle, #3)",4.0
Rick Warren,The Purpose Driven Life: What on Earth Am I Here for?,4.0
"P.C. Cast, Kristin Cast","Betrayed (House of Night, #2)",4.0
Jim Butcher,"Storm Front (The Dresden Files, #1)",4.0
"Jane Austen, Alfred MacAdam",Northanger Abbey,4.0
Rick Yancey,"The 5th Wave (The 5th Wave, #1)",4.0
Charles Frazier,Cold Mountain,4.0
"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie,4.0
Emily Giffin,"Something Blue (Darcy & Rachel, #2)",4.0
Tennessee Williams,A Streetcar Named Desire,4.0
Elizabeth Kostova,The Historian,4.0
Emily St. John Mandel,Station Eleven,4.0
"Fredrik Backman, Henning Koch",A Man Called Ove,4.0
Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)",5.0
Pearl S. Buck,"The Good Earth (House of Earth, #1)",4.0
John Berger,Ways of Seeing,4.0
Diana Gabaldon,"Dragonfly in Amber (Outlander, #2)",4.0
Anonymous,Holy Bible: King James Version,4.0
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel,4.0
Junot Díaz,The Brief Wondrous Life of Oscar Wao,4.0
Zora Neale Hurston,Their Eyes Were Watching God,4.0
"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them,4.0
"Malala Yousafzai, Christina Lamb",I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,4.0
"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park,4.0
