isbn,original_publication_year,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
425263908,2012.0,eng,4.0,222678,9867,18983,55554,104657,197075
66238501,1956.0,eng,4.0,376385,3772,12192,59975,133056,192681
1558743669,1995.0,eng,4.0,311543,7819,16453,57341,98786,140899
752864327,1980.0,eng,4.0,327122,10266,17695,65161,118463,124627
786817879,2001.0,eng,4.0,386923,14473,30894,94950,129607,129241
385738935,2009.0,en-US,4.0,395296,23594,41578,94145,107149,141642
142000655,1952.0,eng,4.0,320919,4183,9409,39153,96741,187196
307341569,2009.0,eng,4.0,333452,5169,17975,89242,165108,109113
385339089,1993.0,eng,4.0,320083,2530,12566,79176,129019,102372
312291639,2002.0,eng,3.0,323762,17006,43014,116021,95951,56081
451527747,1865.0,eng,4.0,340920,5294,17482,76985,127906,149523
192802631,1817.0,eng,4.0,365425,6688,15653,71218,133222,175578
312370830,2007.0,eng,4.0,312444,3865,12684,55760,134748,140574
452284694,1982.0,en-US,4.0,332494,9958,24111,72736,112895,146677
140003468X,1985.0,eng,4.0,283806,11450,23825,65668,110544,111974
014131088X,1999.0,eng,4.0,360156,7770,21049,76503,125660,141422
399159347,2013.0,eng,4.0,232106,4175,15649,80869,155945,95167
385494785,1997.0,en-US,4.0,291258,8041,10286,46060,112601,124605
031242227X,2002.0,en-US,4.0,293878,13569,27249,78405,105786,81379
307346609,2006.0,en-US,4.0,312969,7680,19887,65570,121537,130475
385537859,2013.0,eng,4.0,287533,7261,26077,89237,128374,94611
440227534,1989.0,eng,4.0,333638,3797,12794,63919,123296,138559
446692638,1993.0,eng,4.0,311499,4281,10929,61630,118236,122955
307341542,2006.0,en-US,4.0,207889,4988,17566,81036,147558,103690
439366771,1977.0,eng,4.0,337644,8287,20081,74409,119504,131193
312360266,2007.0,en-US,4.0,360044,21547,34170,81486,97982,135835
743269519,1989.0,en-US,4.0,314700,9038,17041,61036,109359,137410
743477545,1595.0,eng,4.0,334241,5598,20498,84388,130051,120975
618711651,2005.0,en-US,4.0,294726,8847,20556,61303,109008,119402
375869026,2012.0,eng,4.0,228538,4504,7833,34567,105977,224910
039480001X,1957.0,eng,4.0,314016,6179,14497,57850,85944,152712
312641893,2012.0,eng,4.0,427663,12154,18256,66180,150914,206642
316206849,2013.0,en-US,4.0,297712,9729,20151,79290,138955,92370
545123267,2009.0,eng,4.0,356625,17815,35108,86129,105099,126660
452011876,1957.0,eng,4.0,283295,30901,27442,53762,78744,105796
143038257,2006.0,en-US,4.0,283516,14371,27844,77127,97820,71358
517223627,1865.0,eng,4.0,343252,7467,18101,70170,109730,137803
143034901,2001.0,eng,4.0,263685,4789,11769,42214,101612,157170
385738757,2010.0,eng,4.0,305643,5525,21370,79458,124458,115496
767900383,1996.0,eng,4.0,279264,12008,22882,74910,93439,78597
399167064,2014.0,eng,4.0,306186,3775,7865,49115,159494,151184
590920685,1997.0,eng,4.0,339117,6619,20066,80272,110568,128224
743297334,1926.0,en-US,4.0,284988,9602,23682,70004,105785,94044
61120073,1943.0,eng,4.0,291909,3693,9667,43734,103879,148027
446677388,1995.0,eng,4.0,274639,10518,14558,58296,95980,99764
312577222,2015.0,eng,5.0,253606,2829,4913,20612,82844,215817
1400078776,2005.0,eng,4.0,294123,9081,26036,78203,118163,92144
786890754,2003.0,en-US,4.0,262921,7027,16336,56951,90089,113010
1844080382,1938.0,en-US,4.0,177384,4565,10900,49263,112768,152100
156030306,1966.0,en-US,4.0,313044,4223,14882,65106,122462,129526
552995878,1989.0,en-US,4.0,263199,8887,15941,60147,100011,100483
812968069,2005.0,eng,4.0,280475,3268,11286,56005,116178,103923
451205766,1969.0,eng,4.0,256480,2930,5985,30009,83730,147732
525476881,2006.0,eng,4.0,312754,14225,36867,98115,111740,86477
553803719,1951.0,eng,4.0,279688,7697,12471,47251,97583,132586
62255657,2013.0,eng,4.0,293844,7038,18089,64714,127761,118649
60513063,1981.0,eng,4.0,297861,3585,7593,38923,85051,169362
751565350,2016.0,eng,4.0,270603,15828,35842,96395,133156,116552
61726834,2011.0,eng,4.0,256975,8868,21223,68789,117580,135938
385339704,1992.0,eng,4.0,288376,2362,12423,73587,116438,91358
61139378,2002.0,eng,4.0,316379,7078,15010,67188,126167,128187
60853980,1990.0,en-US,4.0,298304,4991,10988,44804,101159,164431
140042598,1955.0,eng,4.0,246602,13769,31221,70104,88569,74221
1476729085,2013.0,eng,4.0,251703,4544,11558,57792,133951,97664
446579939,2008.0,en-US,4.0,267166,3661,11792,54208,94613,117049
451191153,1943.0,eng,4.0,244545,18158,18720,44131,76424,97543
038039586X,1972.0,eng,4.0,292426,9158,15767,52906,102093,128449
307886263,2011.0,eng,4.0,290674,6438,18856,81229,117248,89160
375414495,2009.0,eng,4.0,258319,4586,9249,32671,91293,143280
006112527X,1951.0,eng,4.0,306492,2658,12490,69089,112121,128906
753453800,1882.0,eng,4.0,268012,5349,19127,86487,114968,84584
1423140591,2011.0,eng,4.0,299980,1773,4666,30788,93611,185962
1451627289,2011.0,eng,4.0,258464,2927,7649,35500,109392,147589
241003008,1969.0,eng,4.0,296952,5801,11214,43549,73389,170575
140285601,1963.0,eng,4.0,238940,2701,8491,43680,102441,116840
451528557,1895.0,eng,4.0,276076,3570,16119,81773,118129,84139
849946158,2010.0,eng,4.0,228371,9291,15024,44510,68399,105794
385751060,2006.0,eng,4.0,285692,5297,13562,54987,121193,130362
1892295490,1899.0,eng,3.0,255576,25591,42946,84433,88608,66813
044654759X,2010.0,eng,4.0,255531,3010,9496,45461,91240,125767
1582701709,2006.0,eng,4.0,241537,23328,26321,55785,61698,83813
60987561,1998.0,eng,4.0,246917,4430,9972,39899,86909,116398
1416524347,1983.0,eng,4.0,256383,4584,17315,73475,102744,95635
671021001,1992.0,en-US,4.0,259576,10224,20064,59412,91423,87801
756404738,2011.0,eng,5.0,245686,1486,4018,17932,66415,192498
440241901,2003.0,en-US,4.0,278747,8003,19319,76244,101810,88425
1442403543,2011.0,en-US,4.0,341826,4306,16000,64499,120426,167936
743418174,2001.0,en-US,4.0,248804,12137,20336,66587,84488,68757
380018179,1977.0,eng,4.0,255651,2889,9117,42299,85531,126990
60530928,2008.0,en-US,4.0,302303,5515,12566,53668,120830,132872
1451681739,2012.0,eng,4.0,243526,3432,11985,56557,124430,92030
439709105,2003.0,en-US,4.0,285011,8524,22966,71494,98625,99805
91883768,1998.0,eng,4.0,237272,12161,23384,61934,77196,78459
307279464,1997.0,eng,4.0,250192,3553,10293,50487,104690,95426
553279378,1969.0,en-US,4.0,270859,4969,9937,42472,95531,131539
61950726,2013.0,eng,4.0,226091,1703,6769,42434,116003,97059
1442416866,2012.0,eng,4.0,300553,3341,10329,43333,97947,172919
316204277,2012.0,eng,4.0,215453,4080,13047,59489,119361,72176
60557818,1996.0,eng,4.0,268318,3126,9628,46996,113506,128484
571224385,1984.0,eng,4.0,205279,4894,12964,42199,84519,103404
552135399,1989.0,eng,4.0,226964,4679,9761,33669,76223,122120
316182540,1999.0,eng,4.0,245674,3765,13598,60133,94893,81887
039925675X,2011.0,eng,4.0,299998,5069,11608,48677,106122,146996
743496728,2007.0,eng,4.0,235978,2852,9629,46237,94104,98871
1401323251,2008.0,eng,4.0,241869,3004,8851,35547,76621,124120
812511816,1990.0,eng,4.0,260184,6163,11298,38946,88024,128552
61150142,1998.0,en-US,4.0,221225,3586,11789,50494,85430,84060
60764902,1953.0,eng,4.0,268355,3168,14602,69051,105375,111374
595440096,2007.0,eng,4.0,223432,1178,4249,28642,96615,114387
425263916,2012.0,eng,4.0,252564,2923,8651,33911,74587,147536
375814248,1961.0,eng,4.0,270402,4235,13199,65762,104078,102463
446696617,2001.0,en-US,4.0,233984,4464,10087,48616,83796,95465
345453743,1996.0,eng,4.0,222842,2657,6328,26431,66655,136349
340896965,2009.0,eng,4.0,222926,8632,21291,59874,86793,70462
60775858,1947.0,en-US,4.0,244842,4998,10298,37146,59629,140607
61969559,2010.0,en-US,4.0,253437,6538,17766,58268,90409,97214
140275363,-750.0,eng,4.0,241088,7701,20845,68844,89384,86791
316228532,2012.0,eng,3.0,231835,24583,38326,74611,75741,41200
385339690,1996.0,eng,4.0,222712,1613,8950,56426,90284,69588
316777730,1997.0,en-US,4.0,201337,2631,7051,37023,81934,76127
375840400,2005.0,en-US,4.0,250000,5483,16680,58948,95907,97041
140621679,1900.0,eng,4.0,247521,4197,13653,65910,95948,99692
000720230X,1951.0,eng,4.0,250221,2399,12145,68026,101461,89038
679785892,1971.0,eng,4.0,232489,4730,11381,42362,84094,99573
1416975888,2011.0,eng,4.0,307994,3420,6235,29508,85633,203223
62268341,2014.0,eng,4.0,251082,8886,19000,69227,96483,80627
743477553,1603.0,eng,4.0,238875,4281,16576,64922,92076,78902
1400033411,1987.0,eng,4.0,233825,12441,21409,53863,79915,77470
439206472,1999.0,eng,4.0,275670,6701,18612,70767,102585,96359
449213943,1929.0,en-US,4.0,249113,7646,17740,55908,90874,93621
679805273,1990.0,en-US,4.0,257260,3615,8150,33869,63795,150573
159463176X,2012.0,eng,4.0,199326,2049,9146,45985,93953,77983
345404475,1968.0,eng,4.0,223828,2097,8453,45683,100794,87981
141439742,1838.0,eng,4.0,230181,4766,15425,65342,96135,71495
60652896,1942.0,eng,4.0,116277,4524,8925,34444,75279,114997
525423273,2010.0,en-US,4.0,259479,10602,14781,46011,84323,129627
7173040,1957.0,eng,4.0,250602,3438,7227,32673,63395,149394
1401207928,1990.0,eng,4.0,210682,3564,6593,29496,73094,107893
743223136,2001.0,eng,4.0,215780,11255,10372,30772,70601,97127
553384287,2003.0,eng,4.0,205986,10963,12869,39433,65984,84646
679879250,1997.0,eng,4.0,242503,3905,11486,47802,96998,110594
439488400,2000.0,eng,4.0,237560,9710,22399,62918,76059,74229
1423113381,2010.0,eng,4.0,232791,4565,12571,46486,78216,101051
441788386,1961.0,eng,4.0,220301,10416,16204,45343,69937,87322
965904830,2004.0,eng,4.0,191923,2483,6620,37230,82749,75165
141311371,1982.0,eng,4.0,245855,2987,7906,42480,86105,124891
076790818X,2003.0,en-US,4.0,191535,3514,7196,29992,71534,94131
439227143,1903.0,eng,4.0,223932,6366,16636,62853,90382,72558
385738773,2011.0,eng,4.0,223674,6731,23270,68067,84128,74988
61142026,1999.0,eng,4.0,237602,2959,10183,52599,109208,102235
618485228,2003.0,en-US,4.0,184211,1926,8889,42552,81043,58493
670022411,2011.0,eng,4.0,226622,9304,16503,43523,79322,101083
375704027,1987.0,eng,4.0,183988,2927,10416,41293,87041,76140
446672211,1995.0,en-US,4.0,208333,2053,8967,48023,79147,72178
525421580,2010.0,eng,4.0,236431,8039,18868,60009,87132,80257
1595141758,2008.0,eng,4.0,256745,2851,7224,36392,84199,139399
307352145,2012.0,eng,4.0,202135,5116,10093,39869,82757,83894
142437336,1953.0,eng,4.0,242980,9010,29173,80661,83304,51094
689840926,1986.0,en-US,4.0,222553,12070,22390,59179,73180,65144
076531178X,2006.0,eng,4.0,208944,1783,4008,20554,76611,136037
451528956,1886.0,eng,4.0,223535,2939,16110,76470,100514,63619
679889108,1971.0,eng,4.0,226564,3193,6884,29815,57259,133212
810993139,2004.0,en-US,4.0,254852,10196,18564,53471,69722,111316
1599906953,2012.0,eng,4.0,274987,8471,12115,41710,96202,169367
1595141979,2008.0,en-US,4.0,266742,2876,6532,32789,78293,158473
684803356,1940.0,eng,4.0,195063,4578,11772,43122,75680,71067
345505336,2009.0,eng,4.0,197294,2345,9368,44408,88468,66747
140120831,1985.0,eng,4.0,178135,5659,12862,41804,78658,83771
60838582,2001.0,eng,4.0,179347,7881,12314,47602,69009,46555
747599874,2007.0,en-US,4.0,284833,3019,15025,69367,103350,128346
441569595,1984.0,eng,4.0,183878,9313,14728,40328,65376,72672
99910101,1929.0,en-US,4.0,186613,6224,16181,50604,77096,57418
1590302257,-500.0,eng,4.0,167332,2930,11589,48265,70644,70520
385344228,2012.0,eng,4.0,182025,2777,8608,42024,87107,61550
385334206,1973.0,eng,4.0,178154,2137,7189,34421,72558,70872
874774241,1979.0,en-US,4.0,218264,16846,16544,44024,56358,90678
60838728,2001.0,eng,4.0,192330,4523,13395,43193,71190,67955
739467352,1997.0,eng,4.0,171558,4352,9752,35299,68549,67491
385474547,1958.0,en-US,4.0,199346,9494,22041,59144,74584,48097
385338694,2005.0,eng,4.0,200509,4985,13344,56048,75290,59694
1881273156,1990.0,en-US,4.0,165675,2672,6275,29306,63108,94077
1416589643,2008.0,en-US,4.0,116784,5111,16849,54949,77107,43937
031253275X,2009.0,en-US,4.0,230031,16941,29301,59174,59075,71213
590032496,1983.0,en-US,4.0,221431,3156,7583,40191,79598,103617
743298020,2006.0,eng,4.0,213200,4510,12847,49274,85569,76402
1595142509,2010.0,eng,4.0,224247,2755,5907,26981,66097,133336
1595141987,2009.0,en-US,4.0,231853,2186,6182,30711,70250,135047
446676071,1998.0,en-US,4.0,185116,4500,11979,44190,59999,71333
345521307,2011.0,eng,4.0,191850,3575,12959,53900,89887,47269
545044251,1998.0,eng,5.0,190050,1105,1285,7020,30666,164049
62059963,2013.0,eng,4.0,234247,4780,15546,53644,91201,104645
156001314,1980.0,en-US,4.0,200217,4575,10031,36282,79311,94775
1416914633,1971.0,eng,4.0,196677,7940,18269,51957,63188,64200
802130208,1980.0,eng,4.0,170776,10993,15078,31369,54306,73645
158049580X,1895.0,eng,4.0,210630,2127,7457,38513,85492,98667
1423140605,2012.0,eng,4.0,277491,2771,4480,26318,77876,182141
60855924,1983.0,eng,4.0,190590,3601,11554,50463,81295,78701
